# Channel	Counts	Error	Energy (keV)
461	6	2.4495	1426.057
462	7	3.0000	1429.151
463	10	3.1623	1432.244
464	4	2.4495	1435.338
465	6	2.4495	1438.431
466	8	2.8284	1441.524
467	3	1.7321	1444.618
468	6	2.4495	1447.711
469	7	2.6458	1450.805
470	6	2.4495	1453.898
471	7	2.6458	1456.991
472	3	1.7321	1460.085
473	7	2.6458	1463.178
474	5	2.2361	1466.272
475	5	2.2361	1469.365
476	4	2.0000	1472.458
477	8	2.8284	1475.552
478	6	2.8284	1478.645
479	2	1.4142	1481.739
480	6	2.4495	1484.832
481	8	2.8284	1487.925
482	2	1.4142	1491.019
483	5	2.2361	1494.112
484	2	1.4142	1497.206
485	5	2.2361	1500.299
486	5	2.2361	1503.392
487	0	0.0000	1506.486
488	1	1.0000	1509.579
489	4	2.0000	1512.673
490	2	1.4142	1515.766
491	5	2.2361	1518.859
492	1	1.0000	1521.953
493	2	1.4142	1525.046
494	2	1.4142	1528.140
495	3	1.7321	1531.233
496	1	1.0000	1534.326
497	5	2.2361	1537.420
498	3	1.7321	1540.513
499	0	0.0000	1543.607
500	4	2.0000	1546.700
501	0	0.0000	1549.793
502	0	1.0000	1552.887
503	1	1.0000	1555.980
504	1	1.0000	1559.074
505	1	1.0000	1562.167
506	1	1.0000	1565.260
507	0	0.0000	1568.354
508	1	1.0000	1571.447
509	1	1.0000	1574.541
510	1	1.0000	1577.634
511	2	2.4495	1580.727
