# Channel	Counts	Error	Energy (keV)
491	0	0.0000	1518.86
492	0	0.0000	1521.95
493	1	1.0000	1525.05
494	0	0.0000	1528.14
495	0	0.0000	1531.23
496	0	0.0000	1534.33
497	0	0.0000	1537.42
498	0	0.0000	1540.51
499	0	0.0000	1543.61
500	0	0.0000	1546.70
501	0	0.0000	1549.79
502	0	1.0000	1552.89
503	0	0.0000	1555.98
504	0	0.0000	1559.07
505	0	0.0000	1562.17
506	0	0.0000	1565.26
507	0	0.0000	1568.35
508	0	0.0000	1571.45
509	1	1.0000	1574.54
510	0	0.0000	1577.63
511	0	1.4142	1580.73
