ChannelNumber N(E) W P G(Z,W) Value Energy(MeV) Momentum(MeV/c) N(p)
163.000000 341.000000 1.986740 1.716722 20.717794 2.042041 0.504224 0.504224 341.000000
164.000000 386.000000 1.992795 1.723726 20.691443 2.167383 0.507318 0.507318 386.000000
165.000000 352.000000 1.998847 1.730720 20.665214 2.064770 0.510411 0.510411 352.000000
166.000000 356.000000 2.004900 1.737707 20.639098 2.071509 0.513504 0.513504 356.000000
167.000000 328.000000 2.010955 1.744689 20.613085 1.983641 0.516598 0.516598 328.000000
168.000000 339.000000 2.017008 1.751662 20.587190 2.011841 0.519691 0.519691 339.000000
169.000000 331.000000 2.023063 1.758631 20.561398 1.983254 0.522785 0.522785 331.000000
170.000000 324.000000 2.029115 1.765590 20.535722 1.957540 0.525878 0.525878 324.000000
171.000000 314.000000 2.035168 1.772543 20.510155 1.922561 0.528971 0.528971 314.000000
172.000000 275.000000 2.041223 1.779492 20.484686 1.794987 0.532065 0.532065 275.000000
173.000000 271.000000 2.047276 1.786432 20.459332 1.777717 0.535158 0.535158 271.000000
174.000000 250.000000 2.053331 1.793368 20.434076 1.703467 0.538252 0.538252 250.000000
175.000000 229.000000 2.059384 1.800295 20.408932 1.626561 0.541345 0.541345 229.000000
176.000000 241.000000 2.065436 1.807215 20.383893 1.664766 0.544438 0.544438 241.000000
177.000000 271.000000 2.071491 1.814132 20.358949 1.761262 0.547532 0.547532 271.000000
178.000000 214.000000 2.077544 1.821041 20.334117 1.561507 0.550625 0.550625 214.000000
179.000000 223.000000 2.083599 1.827945 20.309380 1.590340 0.553719 0.553719 223.000000
180.000000 180.000000 2.089652 1.834842 20.284754 1.425534 0.556812 0.556812 180.000000
181.000000 214.000000 2.095705 1.841732 20.260231 1.550796 0.559905 0.559905 214.000000
182.000000 189.000000 2.101759 1.848619 20.235803 1.454078 0.562999 0.562999 189.000000
183.000000 178.000000 2.107812 1.855498 20.211485 1.407923 0.566092 0.566092 178.000000
184.000000 172.000000 2.113867 1.862373 20.187262 1.380854 0.569186 0.569186 172.000000
185.000000 152.000000 2.119920 1.869240 20.163149 1.295159 0.572279 0.572279 152.000000
186.000000 155.000000 2.125973 1.876102 20.139138 1.304932 0.575372 0.575372 155.000000
187.000000 136.000000 2.132027 1.882961 20.115220 1.219591 0.578466 0.578466 136.000000
188.000000 189.000000 2.138080 1.889811 20.091412 1.434504 0.581559 0.581559 189.000000
189.000000 141.000000 2.144135 1.896659 20.067698 1.236257 0.584653 0.584653 141.000000
190.000000 130.000000 2.150188 1.903499 20.044093 1.184410 0.587746 0.587746 130.000000
191.000000 144.000000 2.156241 1.910333 20.020588 1.243786 0.590839 0.590839 144.000000
192.000000 111.000000 2.162295 1.917165 19.997177 1.089587 0.593933 0.593933 111.000000
193.000000 135.000000 2.168348 1.923989 19.973875 1.198965 0.597026 0.597026 135.000000
194.000000 109.000000 2.174403 1.930810 19.950666 1.074965 0.600120 0.600120 109.000000
195.000000 98.000000 2.180456 1.937624 19.927565 1.017041 0.603213 0.603213 98.000000
196.000000 106.000000 2.186509 1.944433 19.904564 1.055420 0.606306 0.606306 106.000000
197.000000 76.000000 2.192564 1.951239 19.881656 0.891720 0.609400 0.609400 76.000000
198.000000 93.000000 2.198616 1.958038 19.858855 0.984271 0.612493 0.612493 93.000000
199.000000 91.000000 2.204671 1.964835 19.836148 0.971512 0.615587 0.615587 91.000000
200.000000 91.000000 2.210724 1.971624 19.813547 0.969405 0.618680 0.618680 91.000000
201.000000 76.000000 2.216777 1.978408 19.791047 0.883996 0.621773 0.621773 76.000000
202.000000 71.000000 2.222832 1.985190 19.768639 0.852578 0.624867 0.624867 71.000000
203.000000 50.000000 2.228885 1.991965 19.746338 0.713928 0.627960 0.627960 50.000000
204.000000 68.000000 2.234939 1.998738 19.724129 0.830787 0.631054 0.631054 68.000000
205.000000 55.000000 2.240992 2.005504 19.702027 0.745565 0.634147 0.634147 55.000000
206.000000 56.000000 2.247045 2.012265 19.680023 0.750705 0.637240 0.637240 56.000000
207.000000 45.000000 2.253100 2.019024 19.658110 0.671514 0.640334 0.640334 45.000000
